region	layer	chamber	VFAT	reason_mask
N	1	4	0	1
N	1	4	1	1
N	1	4	2	1
N	1	4	3	1
N	1	4	4	1
N	1	4	5	1
N	1	4	6	1
N	1	4	7	1
N	1	4	8	1
N	1	4	9	1
N	1	4	10	1
N	1	4	11	1
N	1	4	12	1
N	1	4	13	1
N	1	4	14	1
N	1	4	15	1
N	1	4	16	1
N	1	4	17	1
N	1	4	18	1
N	1	4	19	1
N	1	4	20	1
N	1	4	21	1
N	1	4	22	1
N	1	4	23	1
N	1	9	0	1
N	1	9	1	1
N	1	9	2	1
N	1	9	3	1
N	1	9	4	1
N	1	9	5	1
N	1	9	6	1
N	1	9	7	1
N	1	9	8	1
N	1	9	9	1
N	1	9	10	1
N	1	9	11	1
N	1	9	12	1
N	1	9	13	1
N	1	9	14	1
N	1	9	15	1
N	1	9	16	1
N	1	9	17	1
N	1	9	18	1
N	1	9	19	1
N	1	9	20	1
N	1	9	21	1
N	1	9	22	1
N	1	9	23	1
N	1	12	0	1
N	1	12	1	1
N	1	12	2	1
N	1	12	3	1
N	1	12	4	1
N	1	12	5	1
N	1	12	6	1
N	1	12	7	1
N	1	12	8	1
N	1	12	9	1
N	1	12	10	1
N	1	12	11	1
N	1	12	12	1
N	1	12	13	1
N	1	12	14	1
N	1	12	15	1
N	1	12	16	1
N	1	12	17	1
N	1	12	18	1
N	1	12	19	1
N	1	12	20	1
N	1	12	21	1
N	1	12	22	1
N	1	12	23	1
N	1	17	0	1
N	1	17	1	1
N	1	17	2	1
N	1	17	3	1
N	1	17	4	1
N	1	17	5	1
N	1	17	6	1
N	1	17	7	1
N	1	17	8	1
N	1	17	9	1
N	1	17	10	1
N	1	17	11	1
N	1	17	12	1
N	1	17	13	1
N	1	17	14	1
N	1	17	15	1
N	1	17	16	1
N	1	17	17	1
N	1	17	18	1
N	1	17	19	1
N	1	17	20	1
N	1	17	21	1
N	1	17	22	1
N	1	17	23	1
N	1	20	9	1
N	1	20	17	1
N	1	20	23	2
N	1	27	12	2
N	1	27	14	2
N	1	29	0	1
N	1	29	1	1
N	1	29	2	1
N	1	29	3	1
N	1	29	4	1
N	1	29	5	1
N	1	29	6	1
N	1	29	7	1
N	1	29	8	1
N	1	29	9	1
N	1	29	10	1
N	1	29	11	1
N	1	29	12	1
N	1	29	13	1
N	1	29	14	1
N	1	29	15	1
N	1	29	16	1
N	1	29	17	1
N	1	29	18	1
N	1	29	19	1
N	1	29	20	1
N	1	29	21	1
N	1	29	22	1
N	1	29	23	1
N	1	30	1	2
N	1	31	2	1
N	1	31	7	1
N	1	31	8	1
N	1	31	10	1
N	1	31	20	1
N	1	36	7	1
N	2	1	0	1
N	2	1	1	1
N	2	1	2	1
N	2	1	3	1
N	2	1	4	1
N	2	1	5	1
N	2	1	6	1
N	2	1	7	1
N	2	1	8	1
N	2	1	9	1
N	2	1	10	1
N	2	1	11	1
N	2	1	12	1
N	2	1	13	1
N	2	1	14	1
N	2	1	15	1
N	2	1	16	1
N	2	1	17	1
N	2	1	18	1
N	2	1	19	1
N	2	1	20	1
N	2	1	21	1
N	2	1	22	1
N	2	1	23	1
N	2	3	4	2
N	2	4	0	1
N	2	4	1	1
N	2	4	2	1
N	2	4	3	1
N	2	4	4	1
N	2	4	5	1
N	2	4	6	1
N	2	4	7	1
N	2	4	8	1
N	2	4	9	1
N	2	4	10	1
N	2	4	11	1
N	2	4	12	1
N	2	4	13	1
N	2	4	14	1
N	2	4	15	1
N	2	4	16	1
N	2	4	17	1
N	2	4	18	1
N	2	4	19	1
N	2	4	20	1
N	2	4	21	1
N	2	4	22	1
N	2	4	23	1
N	2	8	0	1
N	2	8	1	1
N	2	8	2	1
N	2	8	3	1
N	2	8	4	1
N	2	8	5	1
N	2	8	6	1
N	2	8	7	1
N	2	8	8	1
N	2	8	9	1
N	2	8	10	1
N	2	8	11	1
N	2	8	12	1
N	2	8	13	1
N	2	8	14	1
N	2	8	15	1
N	2	8	16	1
N	2	8	17	1
N	2	8	18	1
N	2	8	19	1
N	2	8	20	1
N	2	8	21	1
N	2	8	22	1
N	2	8	23	1
N	2	13	0	1
N	2	13	1	1
N	2	13	2	1
N	2	13	3	1
N	2	13	4	1
N	2	13	5	1
N	2	13	6	1
N	2	13	7	1
N	2	13	8	1
N	2	13	9	1
N	2	13	10	1
N	2	13	11	1
N	2	13	12	1
N	2	13	13	1
N	2	13	14	1
N	2	13	15	1
N	2	13	16	1
N	2	13	17	1
N	2	13	18	1
N	2	13	19	1
N	2	13	20	1
N	2	13	21	1
N	2	13	22	1
N	2	13	23	1
N	2	14	0	1
N	2	14	1	1
N	2	14	2	1
N	2	14	3	1
N	2	14	4	1
N	2	14	5	1
N	2	14	6	1
N	2	14	8	1
N	2	14	9	1
N	2	14	10	1
N	2	14	11	1
N	2	14	16	1
N	2	14	17	1
N	2	14	18	1
N	2	14	19	1
N	2	14	20	1
N	2	14	21	1
N	2	14	22	1
N	2	20	6	2
N	2	20	12	1
N	2	20	13	2
N	2	24	0	2
N	2	24	1	2
N	2	24	2	2
N	2	24	3	2
N	2	24	5	2
N	2	24	7	2
N	2	24	16	2
N	2	24	18	2
N	2	24	19	2
N	2	24	20	2
N	2	24	21	2
N	2	24	22	2
N	2	29	0	1
N	2	29	1	1
N	2	29	2	1
N	2	29	3	1
N	2	29	4	1
N	2	29	5	1
N	2	29	6	1
N	2	29	7	1
N	2	29	8	1
N	2	29	9	1
N	2	29	10	1
N	2	29	11	1
N	2	29	12	1
N	2	29	13	1
N	2	29	14	1
N	2	29	15	1
N	2	29	16	1
N	2	29	17	1
N	2	29	18	1
N	2	29	19	1
N	2	29	20	1
N	2	29	21	1
N	2	29	22	1
N	2	29	23	1
N	2	31	4	1
N	2	31	5	1
N	2	31	6	1
N	2	31	7	1
N	2	31	8	1
N	2	31	12	1
N	2	31	13	1
N	2	31	14	1
N	2	31	15	1
N	2	31	20	1
N	2	31	21	1
N	2	31	22	1
N	2	31	23	1
N	2	35	0	1
N	2	35	1	1
N	2	35	2	1
N	2	35	3	1
N	2	35	4	1
N	2	35	5	1
N	2	35	6	1
N	2	35	7	1
N	2	35	8	1
N	2	35	9	1
N	2	35	10	1
N	2	35	11	1
N	2	35	12	1
N	2	35	13	1
N	2	35	14	1
N	2	35	15	1
N	2	35	16	1
N	2	35	17	1
N	2	35	18	1
N	2	35	19	1
N	2	35	20	1
N	2	35	21	1
N	2	35	22	1
N	2	35	23	1
P	1	2	0	1
P	1	2	1	1
P	1	2	2	1
P	1	2	3	1
P	1	2	4	1
P	1	2	5	1
P	1	2	6	1
P	1	2	7	1
P	1	2	8	1
P	1	2	9	1
P	1	2	10	1
P	1	2	11	1
P	1	2	12	1
P	1	2	13	1
P	1	2	14	1
P	1	2	15	1
P	1	2	16	1
P	1	2	17	1
P	1	2	18	1
P	1	2	19	1
P	1	2	20	1
P	1	2	21	1
P	1	2	22	1
P	1	2	23	1
P	1	7	7	1
P	1	7	12	1
P	1	7	13	1
P	1	7	14	1
P	1	7	15	1
P	1	7	23	1
P	1	13	0	1
P	1	13	1	1
P	1	13	2	1
P	1	13	3	1
P	1	13	4	1
P	1	13	5	1
P	1	13	6	1
P	1	13	7	1
P	1	13	8	1
P	1	13	9	1
P	1	13	10	1
P	1	13	11	1
P	1	13	12	1
P	1	13	13	1
P	1	13	14	1
P	1	13	15	1
P	1	13	16	1
P	1	13	17	1
P	1	13	18	1
P	1	13	19	1
P	1	13	20	1
P	1	13	21	1
P	1	13	22	1
P	1	13	23	1
P	1	14	0	1
P	1	14	1	1
P	1	14	2	1
P	1	14	3	1
P	1	14	4	1
P	1	14	5	1
P	1	14	6	1
P	1	14	7	1
P	1	14	8	1
P	1	14	9	1
P	1	14	10	1
P	1	14	11	1
P	1	14	12	1
P	1	14	13	1
P	1	14	14	1
P	1	14	15	1
P	1	14	16	1
P	1	14	17	1
P	1	14	18	1
P	1	14	19	1
P	1	14	20	1
P	1	14	21	1
P	1	14	22	1
P	1	14	23	1
P	1	21	0	1
P	1	21	1	1
P	1	21	2	1
P	1	21	3	1
P	1	21	4	1
P	1	21	5	1
P	1	21	6	1
P	1	21	7	1
P	1	21	8	1
P	1	21	9	1
P	1	21	10	1
P	1	21	11	1
P	1	21	12	1
P	1	21	13	1
P	1	21	14	1
P	1	21	15	1
P	1	21	16	1
P	1	21	17	1
P	1	21	18	1
P	1	21	19	1
P	1	21	20	1
P	1	21	21	1
P	1	21	22	1
P	1	21	23	1
P	1	23	0	1
P	1	23	1	1
P	1	23	2	1
P	1	23	3	1
P	1	23	4	1
P	1	23	5	1
P	1	23	6	1
P	1	23	7	1
P	1	23	8	1
P	1	23	9	1
P	1	23	10	1
P	1	23	11	1
P	1	23	12	1
P	1	23	13	1
P	1	23	14	1
P	1	23	15	1
P	1	23	16	1
P	1	23	17	1
P	1	23	18	1
P	1	23	19	1
P	1	23	20	1
P	1	23	21	1
P	1	23	22	1
P	1	23	23	1
P	1	26	0	1
P	1	26	1	1
P	1	26	2	1
P	1	26	3	1
P	1	26	4	1
P	1	26	5	1
P	1	26	6	1
P	1	26	7	1
P	1	26	8	1
P	1	26	16	1
P	1	28	4	2
P	2	2	0	1
P	2	2	1	1
P	2	2	2	1
P	2	2	3	1
P	2	2	4	1
P	2	2	5	1
P	2	2	6	1
P	2	2	7	1
P	2	2	8	1
P	2	2	9	1
P	2	2	10	1
P	2	2	11	1
P	2	2	12	1
